sensor_name,hour,latitude,longitude,avg_pedestrians
574Qub_T,12,-37.80309992,144.94908064,140.9
574Qub_T,13,-37.80309992,144.94908064,128.4
574Qub_T,14,-37.80309992,144.94908064,101.9
574Qub_T,15,-37.80309992,144.94908064,100.2
574Qub_T,16,-37.80309992,144.94908064,93.4
574Qub_T,17,-37.80309992,144.94908064,103.0
574Qub_T,18,-37.80309992,144.94908064,103.6
574Qub_T,19,-37.80309992,144.94908064,86.9
574Qub_T,20,-37.80309992,144.94908064,67.6
574Qub_T,21,-37.80309992,144.94908064,40.8
574Qub_T,22,-37.80309992,144.94908064,22.4
574Qub_T,23,-37.80309992,144.94908064,10.4
ACMI_T,0,-37.81726338,144.96872809,61.7
ACMI_T,1,-37.81726338,144.96872809,27.2
ACMI_T,2,-37.81726338,144.96872809,13.7
ACMI_T,3,-37.81726338,144.96872809,8.9
ACMI_T,4,-37.81726338,144.96872809,8.3
ACMI_T,5,-37.81726338,144.96872809,24.5
ACMI_T,6,-37.81726338,144.96872809,76.9
ACMI_T,7,-37.81726338,144.96872809,177.1
ACMI_T,8,-37.81726338,144.96872809,531.4
ACMI_T,9,-37.81726338,144.96872809,359.9
ACMI_T,10,-37.81726338,144.96872809,345.7
ACMI_T,11,-37.81726338,144.96872809,429.3
ACMI_T,12,-37.81726338,144.96872809,538.0
ACMI_T,13,-37.81726338,144.96872809,542.5
ACMI_T,14,-37.81726338,144.96872809,555.8
ACMI_T,15,-37.81726338,144.96872809,547.2
ACMI_T,16,-37.81726338,144.96872809,707.2
ACMI_T,17,-37.81726338,144.96872809,916.1
ACMI_T,18,-37.81726338,144.96872809,594.2
ACMI_T,19,-37.81726338,144.96872809,403.1
ACMI_T,20,-37.81726338,144.96872809,312.5
ACMI_T,21,-37.81726338,144.96872809,263.2
ACMI_T,22,-37.81726338,144.96872809,305.5
ACMI_T,23,-37.81726338,144.96872809,184.6
AG_T,0,-37.8199817,144.96872865,50.9
AG_T,1,-37.8199817,144.96872865,31.3
AG_T,2,-37.8199817,144.96872865,19.3
AG_T,3,-37.8199817,144.96872865,11.4
AG_T,4,-37.8199817,144.96872865,10.7
AG_T,5,-37.8199817,144.96872865,36.3
AG_T,6,-37.8199817,144.96872865,108.4
AG_T,7,-37.8199817,144.96872865,224.5
AG_T,8,-37.8199817,144.96872865,320.8
AG_T,9,-37.8199817,144.96872865,322.1
AG_T,10,-37.8199817,144.96872865,425.8
AG_T,11,-37.8199817,144.96872865,555.9
AG_T,12,-37.8199817,144.96872865,691.3
AG_T,13,-37.8199817,144.96872865,745.7
AG_T,14,-37.8199817,144.96872865,720.8
AG_T,15,-37.8199817,144.96872865,722.1
AG_T,16,-37.8199817,144.96872865,702.3
AG_T,17,-37.8199817,144.96872865,765.8
AG_T,18,-37.8199817,144.96872865,710.1
AG_T,19,-37.8199817,144.96872865,585.8
AG_T,20,-37.8199817,144.96872865,456.0
AG_T,21,-37.8199817,144.96872865,378.0
AG_T,22,-37.8199817,144.96872865,355.5
AG_T,23,-37.8199817,144.96872865,210.9
AlfPl_T,0,-37.81379749,144.96995745,8.8
AlfPl_T,1,-37.81379749,144.96995745,5.6
AlfPl_T,2,-37.81379749,144.96995745,4.2
AlfPl_T,3,-37.81379749,144.96995745,3.6
AlfPl_T,4,-37.81379749,144.96995745,3.2
AlfPl_T,5,-37.81379749,144.96995745,7.3
AlfPl_T,6,-37.81379749,144.96995745,21.6
AlfPl_T,7,-37.81379749,144.96995745,62.7
AlfPl_T,8,-37.81379749,144.96995745,160.3
AlfPl_T,9,-37.81379749,144.96995745,172.7
AlfPl_T,10,-37.81379749,144.96995745,156.4
AlfPl_T,11,-37.81379749,144.96995745,157.6
AlfPl_T,12,-37.81379749,144.96995745,328.5
AlfPl_T,13,-37.81379749,144.96995745,271.1
AlfPl_T,14,-37.81379749,144.96995745,171.8
AlfPl_T,15,-37.81379749,144.96995745,145.3
AlfPl_T,16,-37.81379749,144.96995745,143.7
AlfPl_T,17,-37.81379749,144.96995745,172.3
AlfPl_T,18,-37.81379749,144.96995745,119.1
AlfPl_T,19,-37.81379749,144.96995745,68.3
AlfPl_T,20,-37.81379749,144.96995745,38.0
AlfPl_T,21,-37.81379749,144.96995745,32.3
AlfPl_T,22,-37.81379749,144.96995745,26.1
AlfPl_T,23,-37.81379749,144.96995745,18.1
BirArt1109_T,0,-37.81851276,144.97131336,40.9
BirArt1109_T,1,-37.81851276,144.97131336,19.5
BirArt1109_T,2,-37.81851276,144.97131336,9.6
BirArt1109_T,3,-37.81851276,144.97131336,4.0
BirArt1109_T,4,-37.81851276,144.97131336,3.8
BirArt1109_T,5,-37.81851276,144.97131336,13.2
BirArt1109_T,6,-37.81851276,144.97131336,77.5
BirArt1109_T,7,-37.81851276,144.97131336,209.3
BirArt1109_T,8,-37.81851276,144.97131336,330.8
BirArt1109_T,9,-37.81851276,144.97131336,306.4
BirArt1109_T,10,-37.81851276,144.97131336,364.7
BirArt1109_T,11,-37.81851276,144.97131336,360.3
BirArt1109_T,12,-37.81851276,144.97131336,449.8
BirArt1109_T,13,-37.81851276,144.97131336,429.4
BirArt1109_T,14,-37.81851276,144.97131336,362.6
BirArt1109_T,15,-37.81851276,144.97131336,380.6
BirArt1109_T,16,-37.81851276,144.97131336,515.1
BirArt1109_T,17,-37.81851276,144.97131336,575.4
BirArt1109_T,18,-37.81851276,144.97131336,558.5
BirArt1109_T,19,-37.81851276,144.97131336,368.9
BirArt1109_T,20,-37.81851276,144.97131336,189.2
BirArt1109_T,21,-37.81851276,144.97131336,135.5
BirArt1109_T,22,-37.81851276,144.97131336,226.6
BirArt1109_T,23,-37.81851276,144.97131336,177.8
BirBridge_T,0,-37.81757416,144.97329934,1.7
BirBridge_T,0,-37.81753741,144.97329734,6.2
BirBridge_T,1,-37.81757416,144.97329934,1.0
BirBridge_T,1,-37.81753741,144.97329734,3.4
BirBridge_T,2,-37.81757416,144.97329934,1.0
BirBridge_T,2,-37.81753741,144.97329734,2.4
BirBridge_T,3,-37.81753741,144.97329734,1.4
BirBridge_T,4,-37.81753741,144.97329734,1.3
BirBridge_T,5,-37.81757416,144.97329934,1.1
BirBridge_T,5,-37.81753741,144.97329734,2.3
BirBridge_T,6,-37.81757416,144.97329934,2.8
BirBridge_T,6,-37.81753741,144.97329734,12.2
BirBridge_T,7,-37.81757416,144.97329934,4.0
BirBridge_T,7,-37.81753741,144.97329734,38.2
BirBridge_T,8,-37.81757416,144.97329934,5.2
BirBridge_T,8,-37.81753741,144.97329734,47.2
BirBridge_T,9,-37.81757416,144.97329934,6.4
BirBridge_T,9,-37.81753741,144.97329734,36.0
BirBridge_T,10,-37.81757416,144.97329934,9.1
BirBridge_T,10,-37.81753741,144.97329734,41.7
BirBridge_T,11,-37.81757416,144.97329934,8.9
BirBridge_T,11,-37.81753741,144.97329734,44.7
BirBridge_T,12,-37.81757416,144.97329934,13.0
BirBridge_T,12,-37.81753741,144.97329734,81.6
BirBridge_T,13,-37.81757416,144.97329934,13.9
BirBridge_T,13,-37.81753741,144.97329734,82.4
BirBridge_T,14,-37.81757416,144.97329934,9.0
BirBridge_T,14,-37.81753741,144.97329734,52.4
BirBridge_T,15,-37.81757416,144.97329934,8.7
BirBridge_T,15,-37.81753741,144.97329734,48.5
BirBridge_T,16,-37.81757416,144.97329934,8.9
BirBridge_T,16,-37.81753741,144.97329734,56.7
BirBridge_T,17,-37.81757416,144.97329934,9.7
BirBridge_T,17,-37.81753741,144.97329734,65.1
BirBridge_T,18,-37.81757416,144.97329934,10.9
BirBridge_T,18,-37.81753741,144.97329734,52.7
BirBridge_T,19,-37.81757416,144.97329934,8.6
BirBridge_T,19,-37.81753741,144.97329734,46.8
BirBridge_T,20,-37.81757416,144.97329934,6.7
BirBridge_T,20,-37.81753741,144.97329734,27.1
BirBridge_T,21,-37.81757416,144.97329934,2.4
BirBridge_T,21,-37.81753741,144.97329734,9.4
BirBridge_T,22,-37.81757416,144.97329934,1.3
BirBridge_T,22,-37.81753741,144.97329734,12.1
BirBridge_T,23,-37.81757416,144.97329934,1.0
BirBridge_T,23,-37.81753741,144.97329734,9.0
BirFed1120_T,0,-37.8184141,144.97357915,5.7
BirFed1120_T,1,-37.8184141,144.97357915,3.8
BirFed1120_T,2,-37.8184141,144.97357915,2.4
BirFed1120_T,3,-37.8184141,144.97357915,2.0
BirFed1120_T,4,-37.8184141,144.97357915,2.2
BirFed1120_T,5,-37.8184141,144.97357915,7.3
BirFed1120_T,6,-37.8184141,144.97357915,49.4
BirFed1120_T,7,-37.8184141,144.97357915,158.5
BirFed1120_T,8,-37.8184141,144.97357915,279.1
BirFed1120_T,9,-37.8184141,144.97357915,228.8
BirFed1120_T,10,-37.8184141,144.97357915,201.1
BirFed1120_T,11,-37.8184141,144.97357915,204.2
BirFed1120_T,12,-37.8184141,144.97357915,282.2
BirFed1120_T,13,-37.8184141,144.97357915,252.2
BirFed1120_T,14,-37.8184141,144.97357915,230.7
BirFed1120_T,15,-37.8184141,144.97357915,243.4
BirFed1120_T,16,-37.8184141,144.97357915,342.3
BirFed1120_T,17,-37.8184141,144.97357915,373.9
BirFed1120_T,18,-37.8184141,144.97357915,387.6
BirFed1120_T,19,-37.8184141,144.97357915,198.1
BirFed1120_T,20,-37.8184141,144.97357915,62.0
BirFed1120_T,21,-37.8184141,144.97357915,31.8
BirFed1120_T,22,-37.8184141,144.97357915,140.1
BirFed1120_T,23,-37.8184141,144.97357915,60.3
Bou231_T,0,-37.81333081,144.96675571,116.8
Bou231_T,1,-37.81333081,144.96675571,77.6
Bou231_T,2,-37.81333081,144.96675571,53.8
Bou231_T,3,-37.81333081,144.96675571,36.2
Bou231_T,4,-37.81333081,144.96675571,13.9
Bou231_T,5,-37.81333081,144.96675571,13.8
