tree_id,scientific_name,diameter_breast_height_cm,tree_latitude,tree_longitude,canopy_id,canopy_area,canopy_diameter
1032091,Pinus nigra,40.0,-37.8308243,144.9754824,40221,347.586,21.037
1032107,Quercus dentata,23.0,-37.83073558,144.9750226,25351,66.801,9.222
1032117,Quercus canariensis,65.0,-37.83104843,144.9753945,2484,11531.102,121.169
1032118,Quercus canariensis,70.0,-37.83106984,144.9754905,2484,11531.102,121.169
1032164,Ficus macrophylla,55.0,-37.83046019,144.9753228,38188,505.41,25.367
1032174,Cedrus deodara,35.0,-37.8291835,144.9737491,24813,346.867,21.015
1032178,Quercus robur,40.0,-37.82901458,144.9732952,40618,154.984,14.047
1032188,Ulmus procera,45.0,-37.82866525,144.9729346,34419,1735.074,47.002
1032190,Populus x canadensis,150.0,-37.82851798,144.9730013,34419,1735.074,47.002
1032197,Ulmus x hollandica 'Vegeta',40.0,-37.82845226,144.9734926,34419,1735.074,47.002
1032210,Corymbia maculata,50.0,-37.82813308,144.9728404,32861,3860.676,70.111
1032215,Ulmus procera,50.0,-37.82828697,144.9726857,22338,263.145,18.304
1032222,Ulmus procera,65.0,-37.82797682,144.9725334,32861,3860.676,70.111
1032223,Cupressus torulosa,40.0,-37.82790124,144.9723443,32861,3860.676,70.111
1032225,Agathis robusta,45.0,-37.8278253,144.9725915,32861,3860.676,70.111
1032231,Ficus macrophylla,80.0,-37.82760128,144.9725482,32861,3860.676,70.111
1032235,Eucalyptus gomphocephala,60.0,-37.82740792,144.9724012,32861,3860.676,70.111
1032245,Ulmus procera,45.0,-37.82704986,144.9721225,32861,3860.676,70.111
1032253,Cupressus torulosa,50.0,-37.82877418,144.9725229,24779,22.906,5.4
1032260,Ulmus procera,10.0,-37.82828053,144.9721419,16503,2478.02,56.17
1032263,Ulmus procera,80.0,-37.82875538,144.9723601,33537,3869.59,70.192
1032265,Ulmus procera,80.0,-37.82900341,144.9723726,33537,3869.59,70.192
1032270,Corymbia maculata,80.0,-37.82818535,144.9718317,16503,2478.02,56.17
1032275,Corymbia maculata,100.0,-37.82863937,144.9721,33537,3869.59,70.192
1032276,Melaleuca linariifolia,200.0,-37.82866934,144.9718779,8018,374.652,21.841
1032279,Ulmus procera,90.0,-37.82889064,144.9717505,8026,359.172,21.385
1032282,Corymbia maculata,80.0,-37.82897299,144.9722342,33537,3869.59,70.192
1032286,Lagunaria patersonia,50.0,-37.8291416,144.9722464,33537,3869.59,70.192
1032294,Melaleuca linariifolia,100.0,-37.82942378,144.9723185,33132,1266.676,40.159
1032301,Corymbia maculata,70.0,-37.82957992,144.9723193,33132,1266.676,40.159
1032309,Corymbia maculata,12.0,-37.83001568,144.9718245,20909,353.508,21.216
1032324,Liquidambar styraciflua,40.0,-37.83047449,144.9720663,25347,675.582,29.329
1032325,Liquidambar styraciflua,30.0,-37.83059594,144.9720976,25347,675.582,29.329
1032333,Quercus cerris,60.0,-37.83090142,144.9723806,56814,1281.777,40.398
1032346,Melaleuca styphelioides,50.0,-37.83105288,144.9717828,45146,488.949,24.951
1032352,Ceratonia siliqua,20.0,-37.83140019,144.9719477,40123,146.957,13.679
1032357,Eucalyptus cinerea,45.0,-37.83152731,144.9724214,39437,2032.82,50.875
1032362,Hesperocyparis macrocarpa 'Lutea',50.0,-37.83162919,144.971888,53481,497.035,25.156
1032378,Casuarina cunninghamiana,70.0,-37.83260065,144.9731303,33661,2907.637,60.845
1032393,Platanus x acerifolia,80.0,-37.83192977,144.9732117,33661,2907.637,60.845
1032397,Populus alba,100.0,-37.83169312,144.9730492,39431,1935.43,49.641
1032398,Platanus x acerifolia,,-37.83140752,144.9730266,39431,1935.43,49.641
1032399,Platanus x acerifolia,150.0,-37.83152434,144.9733736,39431,1935.43,49.641
1032402,Populus x canescens,90.0,-37.83266066,144.9737112,40712,3635.906,68.04
1032407,Cupressus torulosa,,-37.83252581,144.9740964,40712,3635.906,68.04
1032410,Cupressus torulosa,,-37.83190753,144.9738168,8921,189.418,15.53
1032411,Cupressus torulosa,,-37.83170535,144.9737201,17118,23.164,5.431
1032412,Cupressus torulosa,,-37.83149719,144.9736289,40125,27.219,5.887
1032415,Schinus terebinthifolia,,-37.82987482,144.9744983,44477,602.98,27.708
1032416,Schinus terebinthifolia,,-37.82983662,144.9744239,44477,602.98,27.708
1032491,Eucalyptus punctata,,-37.828274,144.9743522,30518,10959.078,118.125
1032493,Ulmus glabra 'Lutescens',,-37.82813426,144.9744136,30518,10959.078,118.125
1032495,Grevillea robusta,,-37.82833622,144.9745834,22336,99.051,11.23
1032497,Quercus canariensis,,-37.82803467,144.974467,30518,10959.078,118.125
1032499,Melaleuca styphelioides,,-37.82777942,144.9744728,30518,10959.078,118.125
1032515,Ulmus glabra 'Lutescens',,-37.82779306,144.974331,30518,10959.078,118.125
1032520,Quercus canariensis,70.0,-37.82807263,144.9741197,30518,10959.078,118.125
1032521,Eucalyptus fibrosa,,-37.82796733,144.9740885,30518,10959.078,118.125
1032523,Liquidambar styraciflua,,-37.82789936,144.9743382,30518,10959.078,118.125
1032524,Quercus canariensis,,-37.82805009,144.9743024,30518,10959.078,118.125
1032525,Ulmus glabra 'Lutescens',,-37.82816,144.9742913,30518,10959.078,118.125
1032526,Ulmus glabra 'Lutescens',,-37.82825734,144.9742396,30518,10959.078,118.125
1032527,Ulmus glabra 'Lutescens',,-37.82836397,144.9741875,30518,10959.078,118.125
1032528,Ulmus glabra 'Lutescens',,-37.82844696,144.974166,30518,10959.078,118.125
1032530,Eucalyptus camaldulensis,,-37.82841209,144.9740496,30518,10959.078,118.125
1032531,Ulmus glabra 'Lutescens',,-37.82828107,144.9741104,30518,10959.078,118.125
1032535,Eucalyptus sp.,,-37.82795261,144.9739011,30518,10959.078,118.125
1032538,Eucalyptus resinifera,,-37.82778949,144.9735762,18288,6450.629,90.627
1032543,Quercus canariensis,90.0,-37.82758873,144.9736904,18288,6450.629,90.627
1032550,Acer pseudoplatanus 'Leopoldii',,-37.82734188,144.973892,11527,18.004,4.788
1032552,Corymbia maculata,,-37.82729188,144.9736559,18288,6450.629,90.627
1032557,Araucaria cunninghamii,,-37.82713968,144.9734522,3574,924.23,34.304
1032563,Cupressus torulosa,,-37.82690508,144.9736463,3574,924.23,34.304
1032565,Cupressus torulosa,,-37.82696299,144.9737197,3574,924.23,34.304
1032570,Araucaria cunninghamii,,-37.82703847,144.9734901,3574,924.23,34.304
1032571,Cupressus torulosa,,-37.82678382,144.9732632,55954,116.449,12.177
1032572,Cupressus torulosa,,-37.82680015,144.9732319,55954,116.449,12.177
1032575,Syzygium paniculatum,,-37.82669096,144.9728941,18288,6450.629,90.627
1032577,Syzygium paniculatum,,-37.82672564,144.9731282,18288,6450.629,90.627
1032579,Ulmus procera,,-37.82688718,144.972749,18288,6450.629,90.627
1032588,Syzygium floribundum,,-37.82729703,144.9733141,18288,6450.629,90.627
1032589,Syzygium floribundum,40.0,-37.82745349,144.9733069,18288,6450.629,90.627
1032592,Eucalyptus polyanthemos,,-37.82730181,144.9730415,18288,6450.629,90.627
1032603,Cedrus deodara,,-37.82701198,144.9745807,18247,29889.371,195.08
1032605,Populus x canadensis aurea,,-37.82709157,144.9746476,18247,29889.371,195.08
1032608,Pittosporum undulatum,,-37.82717025,144.9746915,18247,29889.371,195.08
1032617,Corymbia maculata,70.0,-37.83388282,144.9830438,25010,90311.652,339.099
1032644,Platanus x acerifolia,60.0,-37.83350994,144.9826116,25010,90311.652,339.099
1032647,Ficus macrophylla,150.0,-37.83386768,144.9829319,25010,90311.652,339.099
1032651,Lophostemon confertus,70.0,-37.83373272,144.9826933,25010,90311.652,339.099
1032659,Corymbia ficifolia,10.0,-37.83383168,144.9826994,25010,90311.652,339.099
1032660,Ulmus minor,30.0,-37.83391479,144.9826726,25010,90311.652,339.099
1032661,Eucalyptus cornuta,150.0,-37.83398159,144.9826725,25010,90311.652,339.099
1032662,Eucalyptus melliodora,45.0,-37.83388414,144.9828349,25010,90311.652,339.099
1032663,Corymbia ficifolia,10.0,-37.83378253,144.9828377,25010,90311.652,339.099
1032670,Ulmus procera,110.0,-37.83335193,144.9821527,25010,90311.652,339.099
1032678,Butia capitata,40.0,-37.8331608,144.9800478,8968,4.312,2.343
1032694,Syzygium smithii,20.0,-37.8321307,144.9780034,25010,90311.652,339.099
1032696,Syzygium smithii,40.0,-37.83199235,144.9778866,25010,90311.652,339.099
1032715,Syzygium paniculatum,,-37.82632185,144.9740406,49790,1559.906,44.566
1032718,Macadamia sp.,,-37.82625877,144.9737665,49790,1559.906,44.566
1032719,Cedrus deodara,,-37.82637079,144.9738621,49790,1559.906,44.566
1032733,Lophostemon confertus,,-37.82650726,144.9731508,3506,143.715,13.527
