service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
afddea3b-59eb-7a96-2b88-ee27e443b248,CLOSED,Victorian Hypnosis & Counselling,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,62 Wellington Parade,East Melbourne,VIC,3002,-37.8164978,144.98809814,,,
1b1b1f15-ebc2-487d-4c69-0e4263de768c,CLOSED,CTK Psychology & Emotional Wellbeing,,,,,,"Darling Terrace,145 Drummond Street",Carlton,VIC,3053,-37.80315781,144.9677887,09:30:00 - 14:00:00,,
f8ba9f22-d005-ecea-824e-b05be9ca1b68,CLOSED,DBI Psychology,,08:00:00 - 20:00:00,,,,"Cramond House,23 Queensberry Street",Carlton,VIC,3053,-37.80532455,144.96829224,,,
4e38b4be-1cab-b6a3-1e5b-d1a5011afb40,CLOSED,Beulah Joseph - Psychology Services,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 4,100 Harbour Esplanade",Docklands,VIC,3008,-37.81814957,144.94715881,,,
9efaf135-b7a9-929a-0976-feeaf222fa49,CLOSED,Diane Abbott - Psychologist,09:00:00 - 20:00:00,,09:00:00 - 20:00:00,,09:00:00 - 20:00:00,"Level 1,279 Lygon Street",Carlton,VIC,3053,-37.798972,144.9647813,,,
8f053cfa-dc33-3643-dae9-969b695f84e9,CLOSED,Vida Psychology - North Melbourne,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,501 Queensberry Street,North Melbourne,VIC,3051,-37.80312347,144.95065308,,Vida Psychology,
196b1c66-37d6-eca4-643c-c06a3531ca66,CLOSED,Dads in Distress Support Services,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,Confidential Address,Melbourne,VIC,3000,-37.81359863,144.96310425,08:30:00 - 17:00:00,,
4933c2e2-5c58-ef3f-5e6d-75e0b40b7900,CLOSED,Healing Minds Psychology - West Melbourne,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,67 Rosslyn Street,West Melbourne,VIC,3003,-37.80802917,144.95243835,,HEALING MINDS CORPORATION PTY LTD,
b6a62417-1a69-c806-620e-22a2c3139ddb,CLOSED,RMB Psychology - Restoring Mind & Body,,,,10:00:00 - 18:00:00,10:00:00 - 18:00:00,"The Dome,Level 14,333 Collins Street",Melbourne,VIC,3004,-37.81694031,144.96316528,10:00:00 - 17:00:00,,
da20a06f-cbac-419b-da3e-5ad3a091b763,CLOSED,Royal Melbourne Hospital - Neuropsychiatry Unit,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"John Cade Building, Royal Melbourne Hospital,Level 2,300 Grattan Street",Parkville,VIC,3052,-37.79956055,144.95610046,,,
229ea37e-ad04-6b71-5c8e-9a8e24fdb0c3,CLOSED,Mingary Counselling Service,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"St Michael's Place,Level 2,120 Collins Street",Melbourne,VIC,3000,-37.81422424,144.96969604,,,
6ea70a73-341a-a191-6b58-8a76caf30afb,CLOSED,The Psychology Suite,,,08:30:00 - 19:00:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"The Block Arcade,Level 4 Suite 401-3,282 Collins Street",Melbourne,VIC,3000,-37.8157959,144.96466064,13:00:00 - 16:00:00,,
1f344539-5407-7b70-a82a-b745fced8a4e,CLOSED,Victorian Deaf Senior Citizens Club,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 4,340 Albert Street",East Melbourne,VIC,3002,-37.80963516,144.97979736,,VICTORIAN DEAF SOCIETY,
5e66cb9e-389a-2e98-c406-ced7ce11e571,CLOSED,Brain Injury Matters,,10:00:00 - 16:00:00,,10:00:00 - 16:00:00,,"Ross House,Level 4,247 Flinders Lane",Melbourne,VIC,3000,-37.81686401,144.96611023,,,
fbcb2c7e-85a9-294f-79f8-fcfcc91b4f9c,CLOSED,Melbourne CBD Psychology,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 19:00:00,"Suite 1012,530 Little Collins Street",Melbourne,VIC,3000,-37.81686783,144.95709229,,,
134e48ff-2e60-f09f-86e8-d20eeeac9238,CLOSED,Nutritional Psychology,09:00:00 - 17:00:00,,,,,49 Chetwynd Street,North Melbourne,VIC,3051,-37.80495834,144.95195007,09:00:00 - 17:00:00,,
a1de089d-4ed4-d0b7-9fa4-f4e918b5ba97,CLOSED,"Anxiety Recovery Centre Victoria, Support Groups - Carlton",,,19:00:00 - 20:30:00,,,100 Drummond Street,Carlton,VIC,3053,-37.80438232,144.96827698,11:00:00 - 12:30:00,OBSESSIVE COMPULSIVE & ANXIETY DISORDERS FOUNDATION VIC INC,
4ddeada5-8fc8-0a38-258d-52ba31306d30,CLOSED,Nexus Psychology - Melbourne,10:00:00 - 20:00:00,10:00:00 - 20:00:00,10:00:00 - 20:00:00,10:00:00 - 20:00:00,10:00:00 - 16:00:00,"Level 4 Suite 4,517 St Kilda Road",Melbourne,VIC,3004,-37.84457779,144.9793396,10:00:00 - 14:00:00,The Trustee for THE R & D KABILLO FAMILY TRUST,10:00:00 - 14:00:00
3ab40e23-ad8d-3119-8160-d075283cd696,CLOSED,Freedom Psychology - Kensington,09:00:00 - 18:00:00,,11:00:00 - 19:00:00,,,"Kensington Healthcare,475 Macauley Road",Kensington,VIC,3031,-37.79463959,144.93032837,,Freedom Psychology,
