name,address,suburb,category,seating_type,seats,latitude,longitude,census_year
Curry Vault,18 Bank Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.81642893,144.960522489,2024
Macchiato On Collins,"Unit 2, Ground 446-452 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,34,-37.81730302,144.959442005,2024
People'S Coffee,Part Ground 440 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.81703239,144.959762275,2024
Tengu Poke,431 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,26,-37.81629333,144.960396821,2024
Dikstein'S Corner Bar,433 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,36,-37.81631093,144.960341264,2024
Otherside Coffee,"Shop 1, Ground 435 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,4,-37.81638558,144.960085861,2024
Intimo,"Shop 3-4, 439-441 Little Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.81638558,144.960085861,2024
Korean Healthy Food Bbq Box,Part Ground 459 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,14,-37.81660734,144.959550019,2024
Korean Healthy Food Bbq Box,Part Ground 459 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,36,-37.81660734,144.959550019,2024
Chaise Lounge,Basement 105 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,40,-37.81614776,144.960847599,2024
The Bank On Collins,Mezzanine 394 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,100,-37.81666775,144.961045391,2024
Cafe Vicolino,Shop 17 & 19 Centre Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,44,-37.81664468,144.965474376,2024
