type,name,address,artist,year,description,latitude,longitude
Art,Personal Islands,"201 Swanston Street, MELBOURNE",Robert Jacks,1992,Brass and bluestone,-37.8129540664935,144.965264917067
Art,Ned and Dan,"20 Doepel Way, DOCKLANDS",Alexander Knox,2006,Three-dimensional frieze,-37.8149351757693,144.940308036389
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201019944052,144.959452353426
Art,Hotham Hill Seat,76 Canning Street,"Bernice McPherson, Di Christensen and Craig Perry",,Steel seat,-37.7949351874639,144.940340735749
Art,Island Wave,"404 Queen Street, MELBOURNE",Lisa Young,2003,Steel sculpture on concrete footing,-37.809326383142,144.958057203226
Art,Walk of Stars,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,2006,Bronze statue and plaques,-37.8152982442351,144.938823236515
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201547396011,144.959252201884
Monument,Sir John Monash,"270 St Kilda Road, SOUTHBANK",William Leslie Bowles,1950,Bronze statue on granite plinth,-37.8267733497848,144.97275207638
Art,Within Three Worlds,"684 Park Street, CARLTON NORTH",Loretta Quinn,1995,Bronze sculpture,-37.7788688464994,144.961128357193
Monument,Motorcycle,"10 Wellington Parade, EAST MELBOURNE",unknown,1923,Granite and marble memorial,-37.8170400389729,144.989581102887
Art,Blowhole,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8220182164578,144.946871022845
Art,Bandstand,"200 Little Collins Street, MELBOURNE",George Dodd,1864,Concrete bandstand,-37.8140548689972,144.96733868317
Art,Coat of Arms,"102 Swanston Street, MELBOURNE",City of Melbourne,1992,Brass pavement inlay,-37.815081401373,144.966458869013
Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8218628257359,144.947009412249
Monument,John Batman Memorial (2),"443 Collins Street, MELBOURNE",Stanley Hammond,1978,Bronze statue,-37.8176597509552,144.959772957148
Art,Lake Waterfall,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",unknown,1973,Stone waterfall,-37.822086065767,144.971811018826
Monument,Sir William John Clarke,"18 Spring Street, EAST MELBOURNE",Edgar Bertram Mackennal,1902,Marble statue,-37.8136729461963,144.97434487547
Art,Water Children,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",John Edward Robinson,c. 1970,Bronze sculpture,-37.8221241223436,144.970661980986
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200614090425,144.959718171092
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200830248455,144.959725218101
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201002457889,144.959733080966
Art,Within Three Worlds,"684 Park Street, CARLTON NORTH",Loretta Quinn,1995,Bronze sculpture,-37.7789311799623,144.961158146237
Monument,Sir Thomas Blamey Memorial,"262 St Kilda Road, SOUTHBANK",Raymond B. Ewers,1960,Bronze statue with granite pedestal,-37.8263011410214,144.972818912121
Art,Aurora,"96 Harbour Esplanade, DOCKLANDS",Geoffrey Bartlett,2005,Stainless steel,-37.8186937927645,144.946856332947
Art,Australia Today and Tomorrow,"152 Clarendon Street, EAST MELBOURNE",Karl Duldig,1970,Bronze sculpture,-37.8118220481066,144.982657048965
Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8186610069437,144.97413082954
Art,Feng Shui,"698 Collins Street, DOCKLANDS",Guan Wei,2003,Multi-panel painting,-37.8198227493892,144.951104886543
Fountain,Grant's Fountain,"353 Exhibition Street, MELBOURNE",unknown,1901,Stone fountain,-37.8074703867589,144.968593306036
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201003379632,144.959547579868
Fountain,Grey Street Fountain,"162 Clarendon Street, EAST MELBOURNE",unknown,1863,Cement fountain,-37.8115435409616,144.982950898766
Fountain,Boy and Urn,"4 Lansdowne Street, EAST MELBOURNE",unknown,unknown,Bronze fountain,-37.8121217645873,144.97970321858
Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187023628084,144.974201916576
Fountain,Conservatory Fountain,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",unknown,c. 1900,Cast-iron and granite drinking fountain,-37.8138743431045,144.978595506099
Art,Blowhole,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219853561923,144.946774675143
Art,Art Wall,"156 Harbour Esplanade, DOCKLANDS",Peter D. Cole,2000,3D Installation,-37.8158205285983,144.946136474106
Art,Art Wall,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,2000,3D Installation,-37.8156948270259,144.946202651563
Art,IOU,"9 Waterview Walk, DOCKLANDS",Mikala Dwyer,2005,Stainless steel and toughened glass,-37.8200830017644,144.947894374833
Art,Weathervanes,"178 Swanston Street, MELBOURNE",Daniel Jenkins,1993,Hand-beaten copper sculpture with gold-leaf detail,-37.8135755457342,144.965751391423
Art,Weathervanes,"271 Bourke Street, MELBOURNE",Daniel Jenkins,1993,Hand-beaten copper sculpture with gold-leaf detail,-37.8136266014549,144.965579210749
Art,Outside Inside Out,"27 Caravel Lane, DOCKLANDS",Matthew McCarthy,2006,Mural,-37.814359230579,144.941130138162
Monument,Man with the Donkey,"Shrine Of Remembrance Reserve, St Kilda Road, MELBOURNE",Wallace Anderson,1935,Cast bronze statue on granite pedestal,-37.8294820404839,144.973858477761
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8202194220305,144.959168439493
Monument,Marquis of Linlithgow,"268 St Kilda Road, SOUTHBANK",William Birnie Rhind,1911,Bronze statue with granite pedestal,-37.8266640358872,144.971916610826
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.820084055671,144.959593881825
Art,Threaded Field,"157 Wurundjeri Way, DOCKLANDS",Simon Perry,1999,Sculpture,-37.8152979137773,144.947771877035
Art,Cow Up A Tree,"135 Harbour Esplanade, DOCKLANDS",John Kelly,2000,Bronze sculpture,-37.8171223164672,144.945279753599
Art,Coat of Arms,"100 Swanston Street, MELBOURNE",City of Melbourne,1992,Brass pavement inlay,-37.8151225543656,144.966479473485
Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187207058813,144.974110660022
Monument,Thomas Ferguson Memorial Drinking Fountain,"179 Leicester Street, CARLTON",unknown,1912,Stone drinking fountain,-37.8015394618203,144.960227228018
Art,The Water Nymph,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Paul Montford,1925,Bronze sculpture,-37.8222098236425,144.971335339413
Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219524131263,144.946745954515
Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187508719706,144.974172398306
