description,type,model,location,condition,latitude,longitude
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Fitzroy Gardens,3.0,-37.81178749945717,144.97889119598213
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Fawkner Park,4.0,-37.84509761881161,144.9822974048418
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fawkner Park Community Centre approximately 57m South of Fawkner Park Tennis Centre, Fawkner Park, 65W Toorak Road, South Yarra, 3141",3.0,-37.838072537667685,144.97976624227474
Seat - Straight Seat - Wooden Battens - Type 2 - Queen Victoria Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Queen Victoria Gardens approximately 97m South of City of Melbourne, Alexandra Gardens, Alexandra Avenue, Melbourne, 3004",3.0,-37.82165974999186,144.9720638711658
Seat - Straight Seat - Wooden Battens - Type 2 - Gordon Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Gordon Reserve,3.0,-37.81250673289684,144.9740616301348
Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Kings Domain,3.0,-37.823735583994726,144.971565447746
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fawkner Park approximately 79m SE of City of Melbourne, Southern Pavilion, Fawkner Park, Commercial Road, South Yarra, 3141",3.0,-37.8436677419773,144.9823456964811
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fawkner Park approximately 61m West of 44 Pasley Street, South Yarra, 3141",4.0,-37.84287223769262,144.98388991341213
Seat - Straight Seat - Wooden Battens - Type 2 - Treasury Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Treasury Gardens,4.0,-37.81427666188407,144.97544056532962
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Carlton Gardens South,4.0,-37.80670716488786,144.97101845999194
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 79m NE of St Andrews Place Reserve, St Andrews Place, East Melbourne, 3002",4.0,-37.81197353047636,144.97835735435825
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 40m NE of Serco Group Pty Limited, Conservatory, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",4.0,-37.81384456896632,144.97888303271156
Seat - Straight Seat - Wooden Battens - Type 2 - Grant Street (SOUTHBANK),Seat,Seat - Straight Seat - Wooden Battens - Type 2,Grant Street Reserve,4.0,-37.82578799777893,144.96887786679045
Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Kings Domain South approximately 55m NW of CitiPower Pty Ltd, Substation 20, 180 Domain Road, Melbourne, 3004",4.0,-37.83363153018907,144.982108878203
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Fitzroy Gardens,4.0,-37.811668427218855,144.98178465419576
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 63m NW of Epworth Freemasons Hospital, 166 Clarendon Street, East Melbourne, 3002",3.0,-37.81092924196862,144.9830815340202
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 63m NW of Holy Trinity Anglican Church, 72-80 Clarendon Street, East Melbourne, 3002",3.0,-37.81368338540747,144.98261104530138
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 78m NW of The Pavilion, The Pavilion, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",3.0,-37.81274240723503,144.98055734507722
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Lansdowne Street between Wellington Parade and St Andrews Place approximately 80m North of Lodge, Lodge, Fitzroy Gardens, 298 Wellington Parade, East Melbourne, 3002",4.0,-37.81468436415134,144.97766987354117
Seat - Straight Seat - Wooden Battens - Type 2 - Sturt Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Sturt Street Reserve,3.0,-37.8296591529176,144.9652234070672
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Fitzroy Gardens,4.0,-37.81211579154924,144.9796207030876
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Carlton Gardens South approximately 94m SE of Elite Myotherapy, 69 Rathdowne Street, Carlton, 3053",4.0,-37.80586816351174,144.96992014300722
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens North,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Carlton Gardens North approximately 75m South of 56 Carlton Street, Carlton, 3053",4.0,-37.801554970551386,144.97195097346278
Seat - Straight Seat - Wooden Battens - Type 2 - Enterprize Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Enterprize Park approximately 63m SE of Enterprize Park, 469-503 Flinders Street, Melbourne, 3000",4.0,-37.82035191455694,144.95949040463978
Seat - Straight Seat - Wooden Battens - Type 2 - Flagstaff Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Flagstaff Gardens approximately 38m NW of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",3.0,-37.80970005651847,144.95481207227482
Seat - Metal Seat - Central Park Kensington,Seat,Seat - Metal Seat,"The Crescent between Mercantile Parade and Gatehouse Drive approximately 14m West of 166 Westbourne Road, Kensington, 3031",4.0,-37.79465019721657,144.91981776379075
Seat - Metal Seat - Kensington Banks Type - Cakebread Mews Park East,Seat,Seat - Metal Seat - Kensington Banks Type,"Council Reserve approximately 11m NW of 42 Mcallister Mews, Kensington, 3031",3.0,-37.79317774159386,144.9197701471439
Seat - Metal Seat - Central Park Kensington,Seat,Seat - Metal Seat,"Westbourne Road Reserve approximately 31m SW of 20 The Crescent, Kensington, 3031",4.0,-37.79424852258863,144.9192349815493
Seat - Metal Seat - Central Park Kensington,Seat,Seat - Metal Seat,"Westbourne Road Reserve approximately 17m North of Reserve, 52-66 The Crescent, Kensington, 3031",4.0,-37.7944967417101,144.9190330281328
Seat - Metal Seat - Central Park Kensington,Seat,Seat - Metal Seat,"Westbourne Road Reserve approximately 35m East of 44 The Crescent, Kensington, 3031",4.0,-37.794341411653406,144.91923884834807
Seat - Metal Seat - Central Park Kensington,Seat,Seat - Metal Seat,"The Crescent between Mercantile Parade and Gatehouse Drive approximately 13m West of 162 Westbourne Road, Kensington, 3031",4.0,-37.79461225614872,144.91980236131354
Seat - Metal Seat - Riverside Park,Seat,Seat - Metal Seat,"Riverside Park approximately 46m SW of 239 Stockmans Way, Kensington, 3031",4.0,-37.79519638617223,144.9165952619891
Seat - Metal Seat - Kensington Banks Type - Watkins Way (KENSINGTON),Seat,Seat - Metal Seat - Kensington Banks Type,"Smorgon Square between Howlett Street and Gregory Lane approximately 5m West of 31 Watkins Way, Kensington, 3031",3.0,-37.79141961056602,144.9210798512768
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Upfield Railway,2.0,-37.78139629640239,144.95292162503256
Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Kings Domain South approximately 60m West of Royal Botanic Gardens Melbourne, Herbarium, Royal Botanic Gardens Victoria, Birdwood Avenue, Melbourne, 3004",4.0,-37.83100326515438,144.97616143184163
Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Kings Domain South approximately 62m North of Melbourne Grammar School, Strickland P.E. Centre, Melbourne Grammar School, 109 Domain Road, South Yarra, 3141",4.0,-37.83327531369976,144.97951431678226
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Fawkner Park,4.0,-37.83939837900698,144.98316862074557
Seat - Older Style Park Seat - Timber Slats - Queen Victoria Gardens,Seat,Seat - Older Style Park Seat - Timber Slats,Queen Victoria Gardens,4.0,-37.82230861734597,144.97177208912376
Seat - Metal Bench - North Melbourne Recreation Reserve,Seat,Seat - Metal Bench,"North Melbourne Recreation Centre Aquatic Centre approximately 31m West of North Melbourne Recreation Centre, Aquatic Centre, 1 Macaulay Road, North Melbourne, 3051",3.0,-37.79991555789769,144.94321753243597
Seat - Concrete Bench Seat,Seat,Seat - Unclassified,"University Square approximately 44m East of Faculty Of Music, 151 Barry Street, Carlton, 3053",3.0,-37.80054084240645,144.96013637894072
Seat - Wooden Slats Set in Bluestone - Alexandra Gardens,Seat,Seat - Wooden Slats Set in Bluestone,"Alexandra Park approximately 69m NW of CitiPower Pty Ltd, Substation Alexandra Gardens, Alexandra Avenue, Melbourne, 3004",3.0,-37.81974483801967,144.97269168527993
Seat - Alloy Frame and Narrow Wooden Slats - Birrarung Marr,Seat,Seat - Alloy Frame and Narrow Wooden Slats,"Birrarung Marr approximately 98m SW of Birrarung Marr, Batman Avenue, Melbourne, 3000",4.0,-37.81885972821187,144.97276645604188
Seat - Alloy Frame and Narrow Wooden Slats - Birrarung Marr,Seat,Seat - Alloy Frame and Narrow Wooden Slats,"Birrarung Marr approximately 50m SE of Artplay, Artplay, Birrarung Marr, Batman Avenue, Melbourne, 3000",4.0,-37.81866724082264,144.97190323776542
Seat - Straight Seat - Wooden Battens - Type 2 - Alexandra Park,Seat,Seat - Unclassified,"Alexandra Park approximately 93m NW of CitiPower Pty Ltd, Substation Alexandra Gardens, Alexandra Avenue, Melbourne, 3004",3.0,-37.819606262276,144.972426237609
Seat - Metal Seat - Weedon Reserve,Seat,Seat - Metal Seat,"Weedon Reserve approximately 35m North of 43 Wellington Parade South, East Melbourne, 3002",3.0,-37.81717703156868,144.98859782861993
Seat - Metal Seat - Stapley Parade Reserve,Seat,Seat - Metal Seat,"Alexandra Avenue between Anderson Street and Walsh Street approximately 72m NW of 11 Alexandra Avenue, South Yarra, 3141",4.0,-37.828306312642944,144.98521947185117
Seat - Metal Seat - Weedon Reserve,Seat,Seat - Metal Seat,"Weedon Reserve approximately 36m NW of 47 Wellington Parade South, East Melbourne, 3002",3.0,-37.81727551161406,144.98807452747693
Picnic Setting - Urban Design Style - JJ Holland Park,Picnic Setting,Picnic Setting - Urban Design Style,"J J Holland Park approximately 35m SE of Unit 5, 130 Kensington Road, Kensington, 3031",3.0,-37.79796097160485,144.92150984976828
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Royal Park,3.0,-37.78491332604865,144.9455516205302
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Carlton Gardens South,3.0,-37.80692459439876,144.97135178282647
Picnic Setting - Urban Design Style,Picnic Setting,Picnic Setting - unspecified,Sturt Street Reserve,4.0,-37.82962255172666,144.96504535006684
Barbeque - Barbeque (Docklands - not categorised),Barbeque,Barbeque - Docklands Barbeque - All Chromed,"Point Park approximately 44m NE of 7 Point Park Crescent, Docklands, 3008",4.0,-37.823064959466265,144.94180279898958
Seat - Unclassified - Docklands Park,Seat,Seat - Unclassified,"Docklands Park approximately 40m SE of Wise Earth Property Group, 791 Bourke Street, Docklands, 3008",3.0,-37.81967758775377,144.94604726282265
Seat - Unclassified - Docklands Park,Seat,Seat - Unclassified,"Docklands Park approximately 70m NE of Street Kitchen Co, Shop 3-4, Ground, 800 Collins Street, Docklands, 3008",3.0,-37.82083922223828,144.94652389390896
Seat - Unclassified - Docklands Park,Seat,Seat - Unclassified,"Docklands Park approximately 68m NE of Street Kitchen Co, Shop 3-4, Ground, 800 Collins Street, Docklands, 3008",3.0,-37.82081208681293,144.9464561424962
Seat - Unclassified - Docklands Park,Seat,Seat - Unclassified,"Docklands Park approximately 78m SW of Hub@Docklands, 80 Harbour Esplanade, Docklands, 3008",4.0,-37.820122735751454,144.94646911468266
Seat - Timber Seat with Aluminium Legs - Docklands,Seat,Seat - Timber Seat with Aluminium Legs - Docklands,"River Esplanade approximately 57m NW of Sassone By The Riverside, 66A River Esplanade, Docklands, 3008",3.16,-37.82444033125999,144.94617913107493
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,Drinking Fountain,Drinking Fountain - Treated Timber Drinking Fountain,"Carlton Gardens South approximately 69m North of Burton Reserve, 1A Victoria Parade, Carlton, 3053",4.0,-37.80719483579952,144.97264821832775
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Bourke Street between Harbour Esplanade and Enterprize Way approximately 24m SW of National Australia Bank Limited, 808 Bourke Street, Docklands, 3008",3.44,-37.81949228639884,144.94459499380662
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Royal Park,3.0,-37.782715015839386,144.94780666106786
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Elizabeth Street between Victoria Street and Queensberry Street approximately 21m SE of Cash Converters, 543 Elizabeth Street, Melbourne, 3000",3.45,-37.805578986039926,144.958879200274
Seat - Straight Seat - Wooden Battens - Type 2 - Lincoln Square,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Lincoln Square,3.0,-37.80273314347271,144.9627084345781
Seat - Metal Seat - Mercantile Park West,Seat,Seat - Metal Seat,Council Reserve No.4 (PS405729N),4.0,-37.79626286997138,144.92072239424402
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Bourke Street between Swanston Street and Elizabeth Street approximately 8m SE of Myer Melbourne, Gnd - Levels 2,5 & 7, Part Levels 4 & 6, 314-336 Bourke Street, Melbourne, 3000",3.45,-37.813892178607055,144.9641120868484
Drinking Fountain - Old Style Steel Drinking Fountain,Drinking Fountain,Drinking Fountain - Old Style Steel Drinking Fountain - Heritage,"Victoria Parade between Nicholson Street and Gisborne Street approximately 14m East of Wilson Parking Australia 1992 Pty Ltd, Carpark, 68-90 Victoria Parade, East Melbourne, 3002",2.3,-37.80831892386757,144.97445245211898
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Intersection of Victoria Street and Errol Street approximately 23m South of Joe Taylor, 7 Errol Street, North Melbourne, 3051",3.43,-37.80501832400133,144.94911036775298
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Royal Park approximately 27m East of Melbourne Zoo, ogical Gardens, Elliott Avenue, Parkville, 3052",3.0,-37.78533232662653,144.9534737646951
Drinking Fountain - Drinking Fountain - Type 1,Drinking Fountain,Drinking Fountain - Drinking Fountain - Type 1,"Intersection of Victoria Street and Cobden Street approximately 3m North of Market Lane Cafe, 133-135 Victoria Street, Melbourne, 3000",3.3,-37.80611690395517,144.9571333967204
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Flinders Street between Spring Street and Exhibition Street approximately 26m SE of Robata, 72 Flinders Street, Melbourne, 3000",3.39,-37.81601000604859,144.97270242239682
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Lygon Street between Grattan Street and Faraday Street approximately 6m East of ANZ, Ground, 205 Lygon Street, Carlton, 3053",3.45,-37.80056485451508,144.9668454274885
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Collins Street between King Street and Spencer Street approximately 13m NE of Batman's Hill On Collins, 623 Collins Street, Melbourne, 3000",3.45,-37.81906773607154,144.95451978482612
Horse Trough - Metal Horse Trough,Horse Trough,Horse Trough - Metal Horse Trough - Heritage,"La Trobe Street between Russell Street and Swanston Street approximately 46m East of RMIT University (City Campus), Building 3 - Kernot Building, RMIT University, 124 La Trobe Street, Melbourne, 3000",1.91,-37.80907788652914,144.96598254906095
Seat - Metal Bench,Seat,Seat - Metal Bench,"Bourke Street between Exhibition Street and Russell Street approximately 5m NW of Gyoza Douraku, 147-149 Bourke Street, Melbourne, 3000",3.1,-37.81267748750617,144.96889225399886
Seat - Metal Seat,Seat,Seat - Metal Seat,"Abbotsford Street between Canning Street and Erskine Street approximately 4m NW of 432 Abbotsford Street, North Melbourne, 3051",2.83,-37.79629145113744,144.94679467937166
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m North of Lovisa, Shop 18, 283-297 Bourke Street, Melbourne, 3000",3.45,-37.81375656306312,144.96510328506818
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Stock Route Reserve approximately 26m West of 403 Racecourse Road, Kensington, 3031",3.24,-37.78800729340601,144.92670181390912
Seat - Straight Seat - Wooden Battens - Type 2 - Gardiner Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Gardiner Reserve approximately 63m SE of 36-58 Macaulay Road, North Melbourne, 3051",4.0,-37.79915278268139,144.94339178564638
Seat - Straight Seat - Wooden Battens - Type 2 - Gardiner Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Gardiner Reserve,5.0,-37.7990894066702,144.94414913219904
Drinking Fountain - Leaf Type - Dog Bowl  - Kings Domain South,Drinking Fountain,Drinking Fountain - Leaf Type - Dog Bowl,"Kings Domain South approximately 40m West of Apartment G1, Ground, 30 Anderson Street, South Yarra, 3141",4.0,-37.83352412979702,144.98347223277543
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Fitzroy Gardens approximately 22m SE of Serco Group Pty Limited, Conservatory, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",4.0,-37.81426414724787,144.97865144245154
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,Drinking Fountain,Drinking Fountain - Leaf Type - Dog Bowl,Royal Park,4.0,-37.78972452756684,144.95542692736785
Seat - Solid Concrete Block - Royal Park,Seat,Seat - Solid Concrete Block,"Royal Park approximately 73m NE of City of Melbourne, Flemington Oval Pavilion, Royal Park, 54 Flemington Road, Parkville, 3052",4.0,-37.79272063140582,144.94793739745512
Seat - Platform Style - Princes Park,Seat,Seat - Platform Style,Princes Park,4.0,-37.78547710844777,144.96253655157037
Picnic Setting - Urban Design Style - Wharfs Landing Park,Picnic Setting,Picnic Setting - Urban Design Style,"Wharfs Landing approximately 16m South of Anchor Eatery, 196 River Esplanade, Docklands, 3008",5.0,-37.82185660505472,144.9363933934231
Seat - Unclassified - New Quay Central Park,Seat,Seat - Unclassified,"NewQuay Promenade approximately 32m SW of Waterfront Seafood Hotpot, 82 Newquay Promenade, Docklands, 3008",4.0,-37.81558370108752,144.93944310426207
Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Kings Domain South,4.0,-37.828307704415735,144.9742404350107
Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Kings Domain South approximately 82m SE of City of Melbourne, Shrine Depot, 23 Dallas Brooks Drive, Melbourne, 3004",3.0,-37.832988889546215,144.97689401373543
Seat - Straight Seat - Wooden Battens - Type 2 - Hardy Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Hardy Reserve approximately 16m East of CitiPower Pty Ltd, Substation 5, Macpherson Street, Carlton North, 3054",3.0,-37.78573473988797,144.96920934283943
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Royal Park,4.0,-37.77756880063591,144.95230420691132
Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Princes Park,4.0,-37.78958761075126,144.959728031541
Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Princes Park,4.0,-37.78517598312691,144.9628936479725
Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Princes Park,4.0,-37.78540005945535,144.96290134794617
Seat - Platform Style - Riverside Quay (SOUTHBANK),Seat,Seat - Platform Style,Riverside Quay Reserve,4.0,-37.82130208183472,144.96402277075728
Seat - Unclassified - Boyd Community Hub,Seat,Seat - Unclassified,"Boyd Community Hub approximately 21m SW of 25 Balston Street, Southbank, 3006",5.0,-37.82590447969564,144.9618981742116
Picnic Setting - unspecified - Boyd Community Hub,Picnic Setting,Picnic Setting - unspecified,"Boyd Community Hub approximately 33m North of 132 Kavanagh Street, Southbank, 3006",5.0,-37.8259897578216,144.96143126545311
Seat - Timber Bench - Boyd Community Hub,Seat,Seat - Timber Bench,"Boyd Community Hub approximately 28m SW of Central Equity Limited, Ground, 205 City Road, Southbank, 3006",5.0,-37.82536587610869,144.96114509125357
Seat - Stainless Steel Curved - Narrow Stainless Slats - Lincoln Square,Seat,Seat - Stainless Steel Curved - Narrow Stainless Slats,Lincoln Square,5.0,-37.802525462873376,144.9629243721412
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Royal Park,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Royal Park approximately 61m South of Womens Pavillion, Womens Pavillion, Royal Park, Old Poplar Road, Parkville, 3052",5.0,-37.78197128785148,144.95606844481355
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Pleasance Gardens,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Pleasance Gardens approximately 26m South of 433 Abbotsford Street, North Melbourne, 3051",5.0,-37.79639356481317,144.9464489931069
Seat - Unclassified - Hub@Docklands,Seat,Seat - Unclassified,Hub@Docklands,5.0,-37.820068883186806,144.94737568533293
Seat - Unclassified - Hub@Docklands,Seat,Seat - Unclassified,"Harbour Esplanade between Collins Street and Bourke Street approximately 33m South of Hub@Docklands, 80 Harbour Esplanade, Docklands, 3008",5.0,-37.81996470846449,144.947282690304
Seat - Unclassified - Hub@Docklands,Seat,Seat - Unclassified,"Hub@Docklands approximately 46m North of Docklands Community Hub Reserve, UprGround, 52-66 Harbour Esplanade, Docklands, 3008",5.0,-37.82021511605788,144.94760156772475
Seat - Straight Seat - Wooden Battens - Type 2 -,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Riverside Park approximately 34m West of 227 Stockmans Way, Kensington, 3031",5.0,-37.79456010174075,144.91663278456554
Picnic Setting - unspecified - Boyd Community Hub,Picnic Setting,Picnic Setting - unspecified,"Boyd Community Hub approximately 28m SW of Central Equity Limited, Ground, 205 City Road, Southbank, 3006",5.0,-37.82537212074477,144.96114662355504
Barbeque - Urban Design Double Hotplate Spanning Two Units - JJ Holland Park,Barbeque,Barbeque - Urban Design Double Hotplate Spanning Two Units,"J J Holland Park approximately 57m South of Altona Street Reserve, 74 Altona Street, Kensington, 3031",5.0,-37.79781159312425,144.92608154725664
Seat - Wooden Bench,Seat,Seat - Wooden Bench,"NewQuay Promenade approximately 29m SE of Rising Tide Financial Services, 108 Newquay Promenade, Docklands, 3008",3.15,-37.81606733575429,144.9388701900121
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between Little Lonsdale Street and La Trobe Street approximately 18m North of Unit 901, 339 Swanston Street, Melbourne, 3000",4.16,-37.81017852793127,144.96398737670808
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between Little Lonsdale Street and La Trobe Street approximately 25m East of Unit 901, 339 Swanston Street, Melbourne, 3000",2.16,-37.810329303834784,144.96426936485952
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Bourke Street between Enterprize Way and Cumberland Street approximately 4m South of Eyes On Docklands, 840 Bourke Street, Docklands, 3008",3.44,-37.81991526798312,144.943163902743
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Harbour Esplanade between Bourke Street and La Trobe Street approximately 14m South of Bendigo And Adelaide Bank Limited, Ground, Level 1, Pt Lvl 4 & Lvls 2-6 & 7-8, 120 Harbour Esplanade, Docklands, 3008",3.44,-37.81774791012379,144.9462851270606
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Harbour Esplanade between Bourke Street and La Trobe Street approximately 65m SE of Berth 7, 161 Harbour Esplanade, Docklands, 3008",3.44,-37.81624379732561,144.94562591817723
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Harbour Esplanade between Bourke Street and La Trobe Street approximately 63m SE of Berth 7, 161 Harbour Esplanade, Docklands, 3008",3.44,-37.81621777182953,144.9456166431374
Seat - Straight Seat - Wooden Battens - Type 2 - JJ Holland Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"J J Holland Park approximately 59m South of The Venny Inc, The Venny, 85 Kensington Road, Kensington, 3031",4.0,-37.79738592072452,144.9231896284857
Seat - Straight Seat - Wooden Battens - Type 2 - JJ Holland Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"J J Holland Park approximately 61m South of Kensington Community Recreation Centre, Kensington Community Centre, 111 Altona Street, Kensington, 3031",3.0,-37.796863372829804,144.92476138587284
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fawkner Park approximately 58m NW of City of Melbourne, Northern Pavilion, Fawkner Park, Toorak Road, South Yarra, 3141",4.0,-37.83939091993492,144.98144522847224
Seat - Urban Design Park Style - Green Powder Coat - Kings Domain,Seat,,Kings Domain,4.0,-37.82292390132511,144.9730152727949
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between A'Beckett Street and Franklin Street approximately 8m SE of Royal Melbourne Institute Of Technology, Basement, Part Ground, & Levels 1 & 2, 459 Swanston Street, Melbourne, 3000",4.16,-37.80788486433546,144.9629094193891
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between Bourke Street and Little Bourke Street approximately 8m East of Bank Of China Limited, 225 Swanston Street, Melbourne, 3000",3.16,-37.81266788664092,144.96513136032445
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Docklands Drive between Pearl River Road and Docklands Drive approximately 34m SE of 458-474 Docklands Drive, Docklands, 3008",3.43,-37.815028929012776,144.93743516787515
