description,type,model,location,condition,latitude,longitude
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,Kings Domain,4.0,-37.82469655350015,144.9721174141578
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Batman Park approximately 58m SE of 32 Rebecca Walk, Melbourne, 3000",3.0,-37.82186723614085,144.9572554993872
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Enterprize Park approximately 71m East of Enterprize Park, 469-503 Flinders Street, Melbourne, 3000",3.0,-37.82024273028081,144.95962780503942
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Point Park approximately 37m NE of 5 Point Park Crescent, Docklands, 3008",4.0,-37.82317712092532,144.94186784766944
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Swanston Street between Queensberry Street and Lincoln Square South approximately 10m South of 526 Swanston Street, Carlton, 3053",3.43,-37.80443768421831,144.9634305261689
Seat - Stainless Steel Seat - Swivel,Seat,Seat - Stainless Steel Seat - Swivel,"River Esplanade between Mills Place and Riggers Place approximately 49m North of 52 South Wharf Drive, Docklands, 3008",3.44,-37.82205803385921,144.93808665055886
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Yarra Point Apartments approximately 1m NE of Pizze Societe, 2 South Wharf Drive, Docklands, 3008",3.3,-37.82352258560033,144.94067478945138
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Royal Park approximately 62m South of Royal Park Brunswick Cricket Club Inc, Western Pavilion, Royal Park, 776 Park Street, Parkville, 3052",4.0,-37.77799314854997,144.95409753909408
Seat - Straight Seat - Wooden Battens - Type 2 - Alexandra Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Alexandra Gardens approximately 24m SW of CitiPower Pty Ltd, Substation Alexandra Gardens, Alexandra Avenue, Melbourne, 3004",4.0,-37.82045572419636,144.97278288433765
Seat - Straight Seat - Wooden Battens - Type 2 - Garrard Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Garrard Street Reserve,4.0,-37.77920659953,144.94180304588338
