service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
fb886353-7122-7083-0273-fb169885d893,CLOSED,Specialists Online - East Melbourne,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Suite 414,100 Victoria Parade",East Melbourne,VIC,3002,-37.8086319,144.97489929,,,
4da73207-2ca1-b685-3369-b63524011175,CLOSED,Specialists Online - East Melbourne,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Suite 414,100 Victoria Parade",East Melbourne,VIC,3002,-37.8086319,144.97489929,,,
74121079-49d8-d436-2994-d64efd2def54,CLOSED,Specialists Online - East Melbourne,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Suite 414,100 Victoria Parade",East Melbourne,VIC,3002,-37.8086319,144.97489929,,,
99a5f907-7486-b9e3-7832-d320d4972d17,UNKNOWN,Trinity Health Myotherapy,,,,,,"Level 8 Suite 4,20 Collins Street",Melbourne,VIC,3000,-37.81332779,144.97293091,,,
2fd6db42-6e66-2073-7f5d-30608a56250a,CLOSED,Era Health Doctor Melbourne CBD,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,"Level 9,460 Bourke Street",Melbourne,VIC,3000,-37.8148613,144.96002197,,,
b09cef2c-768c-483b-b9fb-b3cd1d4818f2,CLOSED,MAMA Services - Kensington,08:00:00 - 17:00:00,08:00:00 - 17:00:00,08:00:00 - 17:00:00,08:00:00 - 17:00:00,08:00:00 - 17:00:00,38 Gatehouse Drive,Kensington,VIC,3031,-37.792398,144.919385,08:00:00 - 15:00:00,,
6d2d69b0-6126-412e-bfcd-063dd75f4087,CLOSED,The Talk Shop - Little Collins Street,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,"Equitable House,Level 1 Suite 115,343 Little Collins Street",Melbourne,VIC,3000,-37.81545258,144.96342468,09:00:00 - 16:00:00,APICAL VISTA PTY LTD,
b792c599-771a-4bf0-9335-de65d9d7712a,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
be65892d-98c9-4e8e-97f1-664b6684e252,CLOSED,MyHealth Medical Centre - Carlton,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Lygon Court Shopping Centre,Level 1 Suite 7,380 Lygon Street",Carlton,VIC,3053,-37.79806137,144.96818542,09:00:00 - 17:00:00,,
f9a0202a-32fe-4b0f-a326-0cb9e954cde1,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
933a7148-2fba-41c4-8a3d-30cd75835a34,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
740da266-36cb-44a2-8034-fb4acba1808e,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
5b4d7444-97fd-4931-8abb-5fec88d511b3,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
b4209def-21a0-4004-a8eb-6a94b43ef99c,CLOSED,cohealth - Kensington,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,12 Gower Street,Kensington,VIC,3031,-37.79482651,144.92913818,,WESTERN REGION HEALTH CENTRE LTD.,
